Document,Clauses,Vars,WalkSat Time,WalkSat Clauses,WalkSat Solves,Local Search Time,Local Search Clauses Solved,Local Solve %
100.410.493366755.cnf,410,100,0.257889,409.4,0.5,0.146357,409.4,0.5
100.410.536371506.cnf,410,100,0.133142,409.8,0.8,0.0652224,410,1
100.410.59012100.cnf,410,100,0.443969,408.4,0.3,0.224077,407.9,0
100.410.593203825.cnf,410,100,0.398871,409.3,0.3,0.157616,409.4,0.4
100.410.699718290.cnf,410,100,0.723771,408.2,0,0.229775,407.8,0
100.410.699744512.cnf,410,100,0.584781,408.5,0,0.247281,408.3,0
100.410.703539617.cnf,410,100,0.40768,409.3,0.3,0.131526,409.4,0.5
100.410.714373159.cnf,410,100,0.626826,409.2,0.2,0.20784,409,0.2
100.410.730428774.cnf,410,100,0.499405,408.7,0.1,0.213519,408.8,0.1
100.410.748497649.cnf,410,100,0.578605,407.9,0.1,0.198616,408.4,0.3
100.410.865550131.cnf,410,100,0.355426,409,0.4,0.15489,409.4,0.4
100.410.884024713.cnf,410,100,0.575744,408.5,0.1,0.202548,408.6,0.2
100.410.885938738.cnf,410,100,0.688036,408.6,0,0.231972,408.2,0
100.410.891788457.cnf,410,100,0.578896,408.8,0.2,0.219349,408.2,0.1
100.410.943139823.cnf,410,100,0.190144,409.6,0.6,0.131762,409.5,0.5
100.410.947230899.cnf,410,100,0.560368,408.8,0,0.23348,408.7,0
100.410.951635834.cnf,410,100,0.091184,409.9,0.9,0.0331655,410,1
100.410.956835828.cnf,410,100,0.169404,409.8,0.8,0.111178,409.4,0.6
100.410.965077260.cnf,410,100,0.681918,408.3,0,0.25058,408.3,0.1
100.420.1004370250.cnf,420,100,0.603806,418.4,0,0.268772,417.8,0
100.420.1018887015.cnf,420,100,0.614115,419,0.1,0.243494,419.1,0.1
100.420.1027789284.cnf,420,100,0.304672,419.3,0.7,0.17663,419.4,0.4
100.420.103750882.cnf,420,100,0.432286,419.2,0.4,0.235385,419,0.2
100.420.105354414.cnf,420,100,0.717633,417.6,0,0.259304,417.1,0
100.420.1137516528.cnf,420,100,0.587724,418.7,0.1,0.269299,418.6,0
100.420.1182894637.cnf,420,100,0.713018,419,0.2,0.247129,418.4,0
100.420.1244568963.cnf,420,100,0.639125,418.5,0,0.216263,418.5,0.1
100.420.1252715679.cnf,420,100,0.316403,419.7,0.7,0.122375,419.7,0.7
100.420.1301491304.cnf,420,100,0.635725,416.8,0,0.239611,416.7,0
100.420.1338323141.cnf,420,100,0.600642,417.9,0,0.237142,418.2,0
100.420.143119294.cnf,420,100,0.497273,418.5,0.1,0.215792,418.4,0.1
100.420.143200046.cnf,420,100,0.0390586,420,1,0.0909533,419.9,0.9
100.420.18433043.cnf,420,100,0.445654,418.6,0.3,0.195043,418.3,0.2
100.420.212275068.cnf,420,100,0.318149,419.1,0.4,0.172371,418.8,0.3
100.420.236603380.cnf,420,100,0.572741,417.8,0,0.236488,418.1,0
100.420.248389397.cnf,420,100,0.446127,419,0.1,0.213986,418.6,0.1
100.420.250339992.cnf,420,100,0.472969,418.8,0.2,0.224118,418.5,0.1
100.420.254227893.cnf,420,100,0.685041,417.5,0,0.238948,417.9,0
100.420.259141876.cnf,420,100,0.638662,417.1,0,0.236724,417.1,0
100.420.264006863.cnf,420,100,0.672421,417.2,0,0.236979,418.3,0
100.420.279259170.cnf,420,100,0.660157,418.5,0,0.219713,418.8,0.1
100.420.306915120.cnf,420,100,0.602508,418.7,0,0.235028,417.8,0
100.420.350899733.cnf,420,100,0.658546,418.7,0.1,0.238815,418.7,0
100.420.462406586.cnf,420,100,0.709364,417.9,0,0.234789,418,0
100.420.508764440.cnf,420,100,0.439839,419.3,0.3,0.23902,418.4,0
100.420.513314709.cnf,420,100,0.643608,418.7,0,0.22799,418.4,0.1
100.420.517278458.cnf,420,100,0.70198,418.6,0,0.217181,418.8,0.1
100.420.518689011.cnf,420,100,0.66182,418.4,0.1,0.237103,417.7,0
100.420.520571188.cnf,420,100,0.295047,419.5,0.6,0.106033,419.6,0.7
100.420.529185557.cnf,420,100,0.383383,419.1,0.5,0.153689,419.3,0.5
100.420.554788831.cnf,420,100,0.24384,419.5,0.6,0.154056,419.6,0.7
100.420.604335459.cnf,420,100,0.213471,419.5,0.7,0.123514,419.8,0.8
100.420.6076625.cnf,420,100,0.663418,418.6,0,0.234869,418.2,0
100.420.608137651.cnf,420,100,0.688667,418.5,0.1,0.21855,418.1,0.1
100.420.631989035.cnf,420,100,0.689414,418,0,0.238938,418.5,0
100.420.648503742.cnf,420,100,0.961231,418.1,0,0.234952,418.2,0
100.420.655542588.cnf,420,100,0.756387,417.4,0,0.238223,417.2,0
100.420.660152703.cnf,420,100,0.631942,418.4,0.3,0.187223,418.1,0.3
100.420.720084340.cnf,420,100,0.998881,418.3,0,0.239792,418.3,0
100.420.727977011.cnf,420,100,0.628242,418.6,0.1,0.242994,418.4,0
100.420.760693063.cnf,420,100,0.604293,418.4,0,0.239082,417.6,0
100.420.77495801.cnf,420,100,0.602181,417.9,0,0.23644,418.2,0
100.420.779746526.cnf,420,100,0.18092,419.7,0.7,0.154143,419.5,0.5
100.420.783505917.cnf,420,100,0.419483,418.9,0.4,0.17607,419.4,0.4
100.420.78668076.cnf,420,100,0.888479,418.2,0,0.236711,417.7,0
100.420.837469646.cnf,420,100,0.69578,418,0,0.234829,418.2,0
100.420.918981202.cnf,420,100,0.561882,418.1,0,0.232309,418.3,0
100.420.940484221.cnf,420,100,0.536907,419.1,0.2,0.239032,418.7,0
100.420.94472846.cnf,420,100,0.571141,418.2,0,0.237177,418.2,0
100.430.1009492299.cnf,430,100,0.625277,428.1,0,0.242476,427.7,0
100.430.1026925615.cnf,430,100,0.5374,428.6,0.3,0.243461,428.9,0.1
100.430.1109013847.cnf,430,100,0.407442,428.8,0.4,0.155594,428.6,0.5
100.430.1144243042.cnf,430,100,0.611568,427.4,0,0.237012,427.5,0
100.430.1145009819.cnf,430,100,0.849379,426.5,0,0.247616,426.6,0
100.430.11841216.cnf,430,100,0.742164,427.9,0,0.240878,427.6,0
100.430.1190092751.cnf,430,100,0.570759,428.7,0.2,0.209766,428.2,0.2
100.430.1198532553.cnf,430,100,0.680833,427.6,0,0.241874,427.5,0
100.430.1230680788.cnf,430,100,0.644397,428.9,0,0.219911,428.9,0.1
100.430.1264799022.cnf,430,100,0.780061,428.2,0.1,0.241628,427.6,0
100.430.1272843192.cnf,430,100,0.705147,428.4,0,0.242722,428.5,0
100.430.1291431781.cnf,430,100,0.440087,428.9,0.4,0.200118,428.7,0.2
100.430.1295553926.cnf,430,100,0.321808,428.8,0.5,0.149919,429,0.4
100.430.1309663570.cnf,430,100,0.6743,428.4,0,0.242729,428.3,0
100.430.1311725926.cnf,430,100,0.435978,428.6,0.2,0.227781,428.1,0.1
100.430.1332119530.cnf,430,100,0.639473,427.3,0,0.24357,427.5,0
100.430.1362651598.cnf,430,100,0.655049,428,0,0.241573,428.4,0
100.430.138787627.cnf,430,100,0.38874,428.8,0.3,0.159306,429.3,0.4
100.430.165418000.cnf,430,100,0.277632,429.4,0.6,0.166547,429.4,0.4
100.430.169712775.cnf,430,100,0.652579,428.6,0,0.242158,428.5,0
100.430.189575513.cnf,430,100,0.948927,427.8,0,0.243075,427.9,0
100.430.250643689.cnf,430,100,0.444097,428.9,0.4,0.222475,429.1,0.2
100.430.283929550.cnf,430,100,0.912034,428.1,0,0.241634,428,0
100.430.294942140.cnf,430,100,0.469551,428.7,0.2,0.199854,428.7,0.3
100.430.297670159.cnf,430,100,0.393692,428.9,0.5,0.180844,428.9,0.3
100.430.31052356.cnf,430,100,0.410288,429.4,0.4,0.219306,428.9,0.2
100.430.311192608.cnf,430,100,0.173803,429.6,0.7,0.170603,429,0.4
100.430.312952587.cnf,430,100,0.201117,429.8,0.8,0.171311,429.4,0.4
100.430.332966265.cnf,430,100,0.482606,429,0.4,0.207571,428.7,0.2
100.430.345819663.cnf,430,100,1.07737,427.4,0,0.250289,427.8,0
100.430.402460209.cnf,430,100,0.350084,428.6,0.4,0.187355,428.8,0.3
100.430.412627036.cnf,430,100,0.7364,428.2,0,0.272517,427.5,0
100.430.424141971.cnf,430,100,0.927695,427.7,0,0.280192,427.6,0
100.430.430833627.cnf,430,100,0.590039,428.1,0,0.266317,427.5,0
100.430.452966654.cnf,430,100,0.99514,428,0.1,0.260914,428.6,0.1
100.430.470266958.cnf,430,100,0.752324,427.6,0.1,0.262541,427.5,0.1
100.430.548412766.cnf,430,100,0.581226,427.9,0,0.235652,428.2,0
100.430.618397536.cnf,430,100,0.318756,429.4,0.4,0.169067,429.4,0.4
100.430.635040118.cnf,430,100,0.43896,428.9,0.3,0.216274,428.1,0.2
100.430.671555998.cnf,430,100,1.25272,427.1,0,0.23765,426.8,0
100.430.676259029.cnf,430,100,0.491491,428.4,0.3,0.183782,428.7,0.3
100.430.818546406.cnf,430,100,0.609739,428.5,0,0.237235,428.3,0
100.430.855454777.cnf,430,100,0.73557,428.1,0.1,0.243349,428.3,0
100.430.873008634.cnf,430,100,0.839352,427.2,0,0.242438,427.4,0
100.430.883642754.cnf,430,100,0.764848,426.8,0,0.23525,427.3,0
100.430.891876911.cnf,430,100,0.396069,429.2,0.4,0.121577,429.4,0.6
100.430.911209613.cnf,430,100,0.809831,427.3,0,0.243785,427.2,0
100.430.955921359.cnf,430,100,0.279696,429.6,0.6,0.0992436,429.6,0.6
100.430.975412199.cnf,430,100,0.619842,428.7,0.2,0.238978,428,0
100.430.98717088.cnf,430,100,0.548781,428.2,0,0.237028,428.3,0
100.440.1055366826.cnf,440,100,0.158675,439.7,0.8,0.13533,439.6,0.6
100.440.1058678104.cnf,440,100,0.732925,438,0,0.288466,437.8,0
100.440.1083045173.cnf,440,100,0.699812,438.8,0,0.271324,438.8,0
100.440.1114956439.cnf,440,100,0.816276,438.2,0,0.26744,438.1,0
100.440.1157971829.cnf,440,100,0.815481,437.5,0,0.277707,437.5,0
100.440.1172890912.cnf,440,100,0.897978,437.1,0,0.284927,437,0
100.440.1176126774.cnf,440,100,0.712514,437.9,0,0.283538,437.9,0
100.440.1218687394.cnf,440,100,0.775325,436.7,0,0.280007,436.7,0
100.440.1306976744.cnf,440,100,0.754586,437,0,0.281434,436.5,0
100.440.1336653464.cnf,440,100,0.80383,437.5,0,0.283025,437.6,0
100.440.1341570152.cnf,440,100,0.900716,437.6,0,0.277569,437.6,0
100.440.1369153400.cnf,440,100,0.83208,437.3,0,0.280822,437.1,0
100.440.1373334538.cnf,440,100,1.01601,436.9,0,0.281487,436.6,0
100.440.142925087.cnf,440,100,0.815676,437.2,0,0.277713,437.5,0
100.440.145777343.cnf,440,100,0.805882,438.4,0.1,0.278603,438.6,0
100.440.176071722.cnf,440,100,0.66635,438.2,0,0.260447,438.3,0
100.440.223352132.cnf,440,100,0.531298,439.5,0.5,0.19827,439.1,0.4
100.440.263082781.cnf,440,100,1.10188,438.2,0,0.262618,438.7,0
100.440.276826985.cnf,440,100,0.804769,437.4,0,0.282433,437.8,0
100.440.279437772.cnf,440,100,1.07621,438.1,0,0.277428,437.9,0
100.440.281513920.cnf,440,100,0.809131,438.2,0.2,0.289147,437.5,0
100.440.295658976.cnf,440,100,0.690156,438.8,0.1,0.280097,438.3,0
100.440.307365877.cnf,440,100,0.957678,438.3,0,0.284735,437.3,0
100.440.309266109.cnf,440,100,1.01277,437.1,0,0.289892,436.9,0
100.440.313322538.cnf,440,100,0.617508,437.8,0,0.28647,438.1,0
100.440.319437359.cnf,440,100,0.240188,439.7,0.8,0.194091,439.4,0.6
100.440.322562276.cnf,440,100,0.608981,438.2,0.1,0.254085,438.8,0.1
100.440.323252473.cnf,440,100,0.932702,438.9,0,0.25509,438.5,0.1
100.440.365145208.cnf,440,100,0.694323,436.8,0,0.288586,436.3,0
100.440.367330071.cnf,440,100,0.75487,438.8,0,0.291732,438.5,0
100.440.399054951.cnf,440,100,0.531303,438.9,0.4,0.272397,438.3,0
100.440.511157684.cnf,440,100,0.711066,437.1,0,0.280067,436.9,0
100.440.547408509.cnf,440,100,0.803286,438.2,0,0.292298,438.6,0
100.440.640374730.cnf,440,100,1.21133,436.1,0,0.286131,435.4,0
100.440.682901286.cnf,440,100,0.80549,437.4,0,0.262238,437.5,0
100.440.696662980.cnf,440,100,0.969463,437.6,0,0.263872,438.1,0
100.440.718644139.cnf,440,100,1.02666,437.1,0,0.261679,437,0
100.440.733279005.cnf,440,100,0.413319,439.3,0.4,0.173296,439.2,0.4
100.440.740896193.cnf,440,100,0.765451,438.5,0,0.263599,438.3,0
100.440.767998326.cnf,440,100,0.892995,437.1,0,0.284457,437.5,0
100.440.788131367.cnf,440,100,0.870382,437.5,0,0.277874,437.2,0
100.440.789166541.cnf,440,100,0.910983,437.5,0,0.289133,436.9,0
100.440.803893564.cnf,440,100,0.845453,436.4,0,0.289055,436.5,0
100.440.810950830.cnf,440,100,0.779129,436.9,0,0.279917,436.3,0
100.440.811207404.cnf,440,100,0.866859,437.3,0,0.289227,436.7,0
100.440.814030407.cnf,440,100,1.1105,437.3,0,0.28975,437.3,0
100.440.822619456.cnf,440,100,0.918044,436.7,0,0.275312,437,0
100.440.892511122.cnf,440,100,0.639856,438.4,0,0.270527,438.8,0
100.440.911795405.cnf,440,100,0.76438,437,0,0.284071,437.4,0
100.440.971561465.cnf,440,100,0.623161,437.5,0,0.276324,437.8,0
100.450.1007582229.cnf,450,100,0.609039,447.4,0,0.253016,447.3,0
100.450.1043369226.cnf,450,100,0.800716,447.3,0,0.289776,447.1,0
100.450.1101475794.cnf,450,100,1.08009,447.8,0,0.296266,448.5,0
100.450.1128886329.cnf,450,100,1.00511,446.1,0,0.296771,445.7,0
100.450.1192161593.cnf,450,100,1.06383,447.9,0,0.291151,446.9,0
100.450.1207763422.cnf,450,100,0.593488,448.8,0.1,0.243292,448.6,0.2
100.450.1208596361.cnf,450,100,0.794845,447.8,0,0.291566,448.5,0
100.450.1241741466.cnf,450,100,0.946915,447.2,0,0.29274,447.2,0
100.450.1267817750.cnf,450,100,0.838213,447.2,0,0.298865,446.7,0
100.450.1268267724.cnf,450,100,0.762036,447.3,0,0.279649,447.3,0
100.450.1280531473.cnf,450,100,1.03209,447.1,0,0.279644,447.5,0
100.450.129152699.cnf,450,100,0.852785,445.8,0,0.289769,446,0
100.450.1367308746.cnf,450,100,0.960012,448.7,0,0.288258,447.5,0
100.450.159110324.cnf,450,100,0.863477,448,0,0.279155,447.9,0
100.450.181773497.cnf,450,100,0.708451,448.5,0,0.277765,448.2,0
100.450.185051212.cnf,450,100,0.752432,446.3,0,0.283509,445.8,0
100.450.19073624.cnf,450,100,0.685633,448.6,0.3,0.167442,448.6,0.5
100.450.232061476.cnf,450,100,0.664811,448.1,0,0.281772,448.1,0
100.450.234222082.cnf,450,100,0.828468,447.9,0,0.290986,448.3,0
100.450.244924402.cnf,450,100,0.950404,447.5,0,0.298185,447.6,0
100.450.268823949.cnf,450,100,0.776663,447.5,0,0.285833,448.1,0
100.450.27782894.cnf,450,100,0.792991,446.6,0,0.287967,446.8,0
100.450.292993877.cnf,450,100,0.899562,447.4,0,0.284438,447.7,0
100.450.299813349.cnf,450,100,1.04314,446.6,0,0.291509,446.2,0
100.450.317312702.cnf,450,100,0.789628,446.2,0,0.295451,446.4,0
100.450.379182505.cnf,450,100,0.864223,445.8,0,0.28782,445.8,0
100.450.465510147.cnf,450,100,0.882163,447.6,0,0.291378,447.7,0
100.450.473731487.cnf,450,100,0.846745,446.6,0,0.285138,447,0
100.450.562677102.cnf,450,100,0.983193,447.2,0,0.277807,447.2,0
100.450.596395829.cnf,450,100,0.973759,446.8,0,0.287768,446.6,0
100.450.617676236.cnf,450,100,0.873016,446.8,0,0.293504,446.3,0
100.450.621295037.cnf,450,100,0.975352,447.2,0,0.280903,447.7,0
100.450.632072978.cnf,450,100,0.879266,447,0,0.281424,446.5,0
100.450.64481687.cnf,450,100,0.847702,448,0,0.292995,447.9,0
100.450.646151308.cnf,450,100,0.875507,446.8,0,0.281165,446.7,0
100.450.648893346.cnf,450,100,0.715213,447.3,0,0.279515,447.6,0
100.450.661818827.cnf,450,100,0.949909,446.8,0,0.288189,446.2,0
100.450.680081709.cnf,450,100,0.709714,448.4,0.3,0.229827,448.7,0.3
100.450.685657939.cnf,450,100,1.00654,447,0,0.292542,446.7,0
100.450.701186156.cnf,450,100,0.940402,446.2,0,0.298925,446.8,0
100.450.755865893.cnf,450,100,0.772853,448.4,0,0.296568,448.6,0
100.450.771499479.cnf,450,100,0.79725,448.8,0,0.291906,448.5,0
100.450.832057164.cnf,450,100,0.423246,449.2,0.5,0.158071,449.4,0.6
100.450.912105512.cnf,450,100,0.841163,447.9,0,0.29371,448.1,0
100.450.913828363.cnf,450,100,0.74322,447.3,0,0.289927,447.3,0
100.450.919378425.cnf,450,100,0.946738,448,0,0.289678,447.7,0
100.450.958149348.cnf,450,100,0.825659,447.2,0,0.288367,447.7,0
100.450.975684953.cnf,450,100,0.807502,446.3,0,0.29288,446.5,0
